target_feature,feature,mutual_info
elbfll,elbfll16,0.45538482266860925
elbfll,wrextl16,0.3342189289385633
elbfll,elbfll04,0.321406769796146
elbfll,elbfll08,0.31371390882681816
elbfll,elbflr16,0.29376643920880463
elbfll,wrextl08,0.28773385503295623
elbfll,elbflr08,0.27037691517106444
elbfll,wrextr16,0.24849105210667188
elbfll,elbflr04,0.2475293648288397
elbfll,elbexl16,0.22922891690816316
wrextl,wrextl16,0.6229126228271693
wrextl,wrextl08,0.553704047639282
wrextl,wrextl04,0.4310744945192502
wrextl,elbexl16,0.42579112391216656
wrextl,wrextr16,0.42140146671121403
wrextl,wrextr04,0.37901880113131137
wrextl,wrextr08,0.37444517833753377
wrextl,elbexl04,0.3701538982055155
wrextl,wrextl01,0.3670665146475258
wrextl,elbexr16,0.36687650573590513
elbexl,elbexl16,0.7632156573325721
elbexl,elbexl08,0.6881095172512404
elbexl,elbexl04,0.5748212889893916
elbexl,elbexr08,0.5481876872111116
elbexl,elbexr04,0.5463162582676167
elbexl,elbexr16,0.5311849577336472
elbexl,finfll16,0.5250192121659953
elbexl,finfll08,0.5166921551615298
elbexl,finabl08,0.49509570803854075
elbexl,finabl16,0.48192579787341083
finfll,finfll16,0.7378152584655098
finfll,finfll08,0.7299287885929577
finfll,finabl16,0.6841219404474002
finfll,finabl08,0.5473475421042862
finfll,finfll04,0.5332972884759153
finfll,elbexl16,0.5139527781247475
finfll,finflr08,0.5066324147341277
finfll,finabr08,0.49968805087259094
finfll,finflr16,0.4958110221661056
finfll,elbexl08,0.49555832037492564
finabl,finabl16,0.7312811192165007
finabl,finfll16,0.6696544347343458
finabl,finabl08,0.659388376117803
finabl,finfll08,0.6360881384106123
finabl,finflr08,0.5871938312452865
finabl,finabr16,0.5773661107444084
finabl,finflr16,0.5691543051881802
finabl,finabl04,0.550972962825123
finabl,finabr08,0.5301297628578667
finabl,finflr04,0.5020537338974864
hipfll,hipfll16,0.6317108173293695
hipfll,hipfll08,0.5806414178133683
hipfll,ankpll16,0.5442984021282058
hipfll,kneexl04,0.5237850708906566
hipfll,ankdol08,0.5224953140850808
hipfll,hipflr16,0.509737729815722
hipfll,kneexl16,0.5082240203824631
hipfll,ankdol16,0.5076190368814908
hipfll,kneexl08,0.4630242523563233
hipfll,kneetr16,0.4598039990199738
kneexl,kneexl16,0.6197891744835791
kneexl,hipflr16,0.5315877874005208
kneexl,ankpll16,0.519772252180589
kneexl,kneetr08,0.5147960789573571
kneexl,hipfll16,0.5029764073508014
kneexl,ankdol16,0.4909427959938619
kneexl,kneexl08,0.4878819257575402
kneexl,kneetr16,0.48444026894831094
kneexl,ankpll08,0.46521292890066945
kneexl,ankdor16,0.444760901681291
ankdol,ankdol16,0.5401112119765932
ankdol,hipfll16,0.5123725612361336
ankdol,hipfll08,0.49688953933762114
ankdol,gretol16,0.4673907570098197
ankdol,ankdol08,0.4636457314425342
ankdol,kneexl08,0.461595325557727
ankdol,ankpll16,0.45445786518399034
ankdol,gretol08,0.4463399589613739
ankdol,kneetr08,0.4257578702549907
ankdol,hipflr16,0.4243770317909008
gretol,ankdol16,0.5459456271233716
gretol,gretol16,0.5298796462647934
gretol,hipfll16,0.5164599298356807
gretol,ankpll16,0.511968330475463
gretol,gretol08,0.5092275082440447
gretol,kneexl16,0.5023828695995696
gretol,ankpll08,0.49794778034653264
gretol,kneexl08,0.45501949566403255
gretol,kneetr16,0.449002196706894
gretol,ankdol08,0.44254361510692775
ankpll,ankpll16,0.5623465923973043
ankpll,ankdol16,0.5428010622682558
ankpll,hipfll16,0.5331694789907107
ankpll,ankpll08,0.523604157488808
ankpll,hipfll08,0.48693866141561415
ankpll,kneexl16,0.48255264910990103
ankpll,gretol16,0.4788442875059218
ankpll,ankdol08,0.4637002036578268
ankpll,ankplr16,0.4622833288882884
ankpll,kneetr16,0.44952551986747524
elbflr,elbflr16,0.4221899160536511
elbflr,elbflr08,0.3701423943936777
elbflr,elbflr04,0.3555702158799017
elbflr,wrextr08,0.28720494985835376
elbflr,elbexr16,0.27588738413975156
elbflr,wrextl16,0.2739844079431206
elbflr,wrextr16,0.2735023402069574
elbflr,wrextr04,0.2616527798453103
elbflr,wrextl08,0.2584520482811694
elbflr,elbfll16,0.2527257460038017
wrextr,wrextr16,0.6373656411480835
wrextr,wrextr08,0.5128431705719962
wrextr,wrextr04,0.4611047411438025
wrextr,wrextr01,0.4064286042666576
wrextr,wrextl16,0.3975065384481855
wrextr,elbexr04,0.39298908176946146
wrextr,elbexl08,0.3787251635702513
wrextr,wrextl08,0.37064247079298873
wrextr,elbexr08,0.36594986254970996
wrextr,elbexr16,0.35628430349173357
elbexr,elbexr08,0.7666488449771833
elbexr,elbexr16,0.6728114649130759
elbexr,elbexr04,0.5964561796760495
elbexr,elbexl16,0.5520967744917766
elbexr,elbexl08,0.5428623355981803
elbexr,finabr16,0.48993570652040264
elbexr,elbexl04,0.47452029362747217
elbexr,finflr16,0.4673803542871422
elbexr,finflr04,0.4572941859234252
elbexr,finabr08,0.4540867118881784
finflr,finflr08,0.7629502150842811
finflr,finflr16,0.72754645309666
finflr,finabr08,0.6412048533444454
finflr,finabr16,0.623347078507297
finflr,elbexr08,0.539041949856522
finflr,finflr04,0.5281815488824257
finflr,finabl08,0.524907020045879
finflr,finabr04,0.5212042543414346
finflr,finfll08,0.5191075138496477
finflr,finabl16,0.5050523235309003
finabr,finabr16,0.7655938441443233
finabr,finabr08,0.7416608543481122
finabr,finflr08,0.731242263322136
finabr,finflr16,0.7180781386424466
finabr,finflr04,0.6029200324539667
finabr,finabl08,0.5380495654714399
finabr,finabr04,0.5171437184101233
finabr,elbexr04,0.5141841199189123
finabr,finfll08,0.5083091244909603
finabr,finfll16,0.49283784772174366
hipflr,hipflr16,0.5814631601121185
hipflr,kneetr16,0.5172738145817903
hipflr,kneetr04,0.5078950012214785
hipflr,gretor08,0.492437747342481
hipflr,hipflr08,0.4742036166693344
hipflr,kneexl08,0.47226331871053606
hipflr,ankdor16,0.46810856217081875
hipflr,ankplr08,0.45185221412342136
hipflr,kneetr08,0.44883306202979245
hipflr,ankpll16,0.4439172161098268
kneetr,kneetr16,0.6066309176630673
kneetr,ankdor16,0.5451241769659729
kneetr,hipflr16,0.5449097565222027
kneetr,hipflr08,0.5391137285182426
kneetr,ankplr16,0.4938770589627741
kneetr,kneetr08,0.4873862819738508
kneetr,kneexl16,0.4322905598813458
kneetr,hipfll08,0.43121020024697243
kneetr,hipfll16,0.4302296560085126
kneetr,kneexl08,0.4289102546507295
ankdor,ankdor16,0.5524872365225311
ankdor,ankplr16,0.5333236518343738
ankdor,gretor08,0.5068482045690614
ankdor,gretor16,0.4729528786119772
ankdor,kneetr16,0.46931244101731906
ankdor,kneetr08,0.46923925077807027
ankdor,ankdor08,0.4495451056929407
ankdor,hipflr16,0.4489254183303544
ankdor,kneetr04,0.4405604390325184
ankdor,ankplr08,0.42864574613517537
gretor,ankdor16,0.5353885952865687
gretor,ankplr16,0.5252904835366334
gretor,kneetr16,0.4743219143236188
gretor,kneetr08,0.4620656018869158
gretor,gretor16,0.4533822831663197
gretor,gretor08,0.44771502488769466
gretor,hipfll16,0.43508474734854996
gretor,ankplr08,0.43479284804987417
gretor,ankdor08,0.4344961578996491
gretor,hipflr08,0.4290635299846359
ankplr,ankplr16,0.5918618881028759
ankplr,hipflr16,0.5558868698933797
ankplr,kneetr16,0.519460673955479
ankplr,ankdor16,0.5123816470052498
ankplr,ankplr08,0.4906373580914809
ankplr,kneexl16,0.46429166846423664
ankplr,gretor16,0.46143722667759635
ankplr,hipflr08,0.45604353826448163
ankplr,ankpll08,0.4537924219359266
ankplr,kneetr08,0.45371473836588105
